Label,Message
1,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk
0,Of course. I guess god's just got me on hold right now.
0,I cant pick the phone right now. Pls send a message
0,Er yep sure. Props?
0,Gudnite....tc...practice going on
0,What r u cooking me for dinner?
0,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
0,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
0,"Sorry, I'll call later"
0,Boo what time u get out? U were supposed to take me shopping today. :(
0,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
0,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
0,Oh just getting even with u.... u?
0,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
0,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
1,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
0,Lolnice. I went from a fish to ..water.?
1,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
0,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
1,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
0,I sent them. Do you like?
0,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX
0,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
0,Hi:)did you asked to waheeda fathima about leave?
0,Haiyoh... Maybe your hamster was jealous of million
0,K..i deleted my contact that why?
1,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
0,"Haha... Sounds crazy, dunno can tahan anot..."
0,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
0,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
0,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
0,Ok
0,She ran off with a younger man. we will make pretty babies together :)
0,"Haha awesome, be there in a minute"
0,We have to pick rayan macleran there.
0,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
0,Lmao you know me so well...
0,Ü thk of wat to eat tonight.
0,Probably earlier than that if the station's where I think it is
0,"Dude u knw also telugu..thts gud..k, gud nyt.."
0,Designation is software developer and may be she get chennai:)
0,"I'm not sure, I was just checking out what was happening around the area"
1,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
0,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
0,Send his number and give reply tomorrow morning for why you said that to him like that ok
0,I plane to give on this month end.
1,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
0,Oh ok i didnt know what you meant. Yep i am baby jontin
0,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
0,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
0,Have you finished work yet? :)
0,In that case I guess I'll see you at campus lodge
0,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
0,Don no da:)whats you plan?
1,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
0,Thank you princess! You are so sexy...
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
0,"Excellent, I'll see what riley's plans are"
0,Pick you up bout 7.30ish? What time are  and that going?
0,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
0,Thats cool! I am a gentleman and will treat you with dignity and respect.
1,Adult 18 Content Your video will be with you shortly
0,"Its good, we'll find a way"
0,No. I.ll meet you in the library
0,Is that what time you want me to come?
0,Printer is cool. I mean groovy. Wine is groovying
0,Good evening! How are you?
0,I will vote for wherever my heart guides me
0,How come i din c ü... Yup i cut my hair...
0,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
0,"Goodmorning, today i am late for 1hr."
1,Money i have won wining number 946 wot do i do next
0,So ü pay first lar... Then when is da stock comin...
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
0,Good night. Am going to sleep.
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
0,You are a big chic. Common. Declare
1,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
0,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
0,"Me also da, i feel yesterday night  wait til 2day night dear."
1,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
0,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
0,Ill be there on  &lt;#&gt;  ok.
0,Does she usually take fifteen fucking minutes to respond to a yes or no question
0,If you don't respond imma assume you're still asleep and imma start calling n shit
0,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
0,Msg me when rajini comes.
0,I am on the way to ur home
1,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
0,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
0,In fact when do you leave? I think addie goes back to school tues or wed
0,Tell rob to mack his gf in the theater
0,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
0,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
0,Thnx dude. u guys out 2nite?
0,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
0,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
0,We are okay. Going to sleep now. Later
0,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
0,Dude just saw a parked car with its sunroof popped up. Sux
0,Nope i'm not drivin... I neva develop da photos lei...
0,Hi kindly give us back our documents which we submitted for loan from STAPATI
0,I keep ten rs in my shelf:) buy two egg.
0,She's good. How are you. Where r u working now
0,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
0,Dont talk to him ever ok its my word.
0,Ok then i'll let him noe later n ask him call u tmr...
0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
0,And now electricity just went out fml.
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
0,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
0,No message..no responce..what happend?
0,Thanks. Fills me with complete calm and reassurance! 
0,K. Did you call me just now ah? 
0,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
0,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
0,Oh baby of the house. How come you dont have any new pictures on facebook
0,Wat uniform? In where get?
0,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
0,Is there coming friday is leave for pongal?do you get any news from your work place.
0,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
0,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
0,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
0,K..u also dont msg or reply to his msg..
0,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
0,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?
1,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
0,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
0,It shall be fine. I have avalarr now. Will hollalater
0,Sindu got job in birla soft ..
0,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
0,The new deus ex game comin early next yr
0,Mm umma ask vava also to come tell him can play later together
0,The basket's gettin full so I might be by tonight
0,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
0,I had askd u a question some hours before. Its answer
0,I pocked you up there before
0,Good Morning plz call me sir
0,Hope you are having a great day.
0,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
0,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
0,Wish u many many returns of the day.. Happy birthday vikky..
0,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
1,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
0,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
0,Leave it. U will always be ignorant.
0,R ü comin back for dinner?
0,Ok lor.
0,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
0,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see
0,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe
0,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
0,Do you work all this week ?
0,Mm yes dear look how i am hugging you both. :-P
0,She's borderline but yeah whatever.
0,Go where n buy? Juz buy when we get there lar.
1,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
0,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
0,I have lost 10 kilos as of today!
0,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
0,Who's there say hi to our drugdealer
0,"Well, i'm gonna finish my bath now. Have a good...fine night."
1,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
0,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
1,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
0,Nah dub but je still buff
0,Love it! The girls at the office may wonder why you are smiling but sore...
0,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
1,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
1,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
0,Am in gobi arts college
0,What was she looking for?
0,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
0,How much she payed. Suganya.
1,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
0,I think u have the wrong number.
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
1,Missed call alert. These numbers called but left no message. 07008009200
0,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
1,You have 1 new voicemail. Please call 08719181503
0,Can i get your opinion on something first?
0,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?"
0,Why i come in between you people
0,Love you aathi..love u lot..
0,Guess he wants alone time. We could just show up and watch when they do..
0,S..antha num corrct dane
0,"Nope, I'm still in the market"
0,I am taking half day leave bec i am not well
0,Dont worry. I guess he's busy.
0,Too late. I said i have the website. I didn't i have or dont have the slippers
1,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
0,"I just got home babe, are you still awake ?"
0,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
0,Am i that much dirty fellow?
0,Are you still getting the goods.
0,I jokin oni lar.. Ü busy then i wun disturb ü.
0,And do you have any one that can teach me how to ship cars.
0,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
0,Alright i have a new goal now
0,"I didnt get ur full msg..sometext is missing, send it again"
0,Pls accept me for one day. Or am begging you change the number.
0,Was doing my test earlier. I appreciate you. Will call you tomorrow.
1,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate "
0,"Not for possession, especially not first offense"
0,I wont. So wat's wit the guys
0,"Aight that'll work, thanks"
0,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
1,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
0,You flippin your shit yet?
0,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
0,"Ya tel, wats ur problem.."
0,Wat time do u wan 2 meet me later?
0,Ok lor... But buy wat?
0,Going to take your babe out ?
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470"
0,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
0,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
0,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
0,No way I'm going back there!
0,Went to ganesh dress shop
1,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL
0,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... 
0,U buy newspapers already?
1,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
0,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
0,Huh means computational science... Y they like dat one push here n there...
0,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
0,Ard 4 lor...
0,I.ll post her out l8r. In class
0,Me sef dey laugh you. Meanwhile how's my darling anjie!
0,Gokila is talking with you aha:)
1,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
0,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
0,For my family happiness..
0,Our Prashanthettan's mother passed away last night. pray for her and family.
0,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
0,"Yo, any way we could pick something up tonight?"
0,Ok...
0,"Looks like you found something to do other than smoke, great job!"
0,How is your schedule next week? I am out of town this weekend.
0,Yeah whatever lol
0,Jus ans me lar. U'll noe later.
0,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
0,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
0,No no. I will check all rooms befor activities
0,U coming 2 pick me?
0,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
0,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
0,How are you enjoying this semester? Take care brother.
1,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
0,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
0,I'm in chennai velachery:)
0,"Ok da, i already planned. I wil pick you."
0,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
0,Hello- thanx for taking that call. I got a job! Starts on monday!
0,Hows the pain dear?y r u smiling?
0,"Aight, I'll ask a few of my roommates"
0,"Gud gud..k, chikku tke care.. sleep well gud nyt"
0,Did u find out what time the bus is at coz i need to sort some stuff out.
0,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
0,You are not bothering me but you have to trust my answers. Pls.
0,Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!
0,Good morning princess! How are you?
0,Wait 2 min..stand at bus stop
0,"Its ok chikku, and its my 1 of favourite song..:-)"
0,Your pussy is perfect!
1,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
0,Then u go back urself lor...
0,Ya had just now.onion roast.
0,Can do lor...
0,Yep get with the program. You're slacking.
0,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!"
0,Cos i want it to be your thing
0,Id have to check but there's only like 1 bowls worth left
0,Depends on where u going lor.
0,What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not
0,I'm home...
0,What Today-sunday..sunday is holiday..so no work..
1,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50
0,Whos this am in class:-)
1,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
1,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
0,Okie...
0,Dear we got  &lt;#&gt;  dollars hi hi
0,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
0,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
0,Hey gals.. Anyone of u going down to e driving centre tmr?
0,Friends that u can stay on fb chat with
0,Is ur lecture over?
0,Do you know where my lab goggles went
0,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
0,Have you started in skye
1,88066 FROM 88066 LOST 3POUND HELP
0,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
1,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
0,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is"
0,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
0,"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!"
0,Did either of you have any idea's? Do you know of anyplaces doing something?
0,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
1,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
0,"Aight, sounds good. When do you want me to come down?"
0,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
0,Nothing spl..wat abt u and whr ru?
0,Lara said she can loan me  &lt;#&gt; .
1,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
1,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
0,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
0,Huh so fast... Dat means u havent finished painting?
0,I just cooked a rather nice salmon a la you
0,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
0,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
0,Sos! Any amount i can get pls.
0,I did. One slice and one breadstick. Lol
0,I AM AT A PARTY WITH ALEX NICHOLS
0,You all ready for * big day tomorrow?
0,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
0,Y lei?
0,Am also doing in cbe only. But have to pay.
0,"I‘ve got some salt, you can rub it in my open wounds if you like!"
0,Customer place i will call you
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
0,"Aight no rush, I'll ask jay"
0,Most of the tiime when i don't let you hug me it's so i don't break into tears.
0,What class of  &lt;#&gt;  reunion?
0,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
